author_id,name,username,created_at,text,sentimen
,,,7/1/2022 23:40,"Juru bicara Pertamina menyatakan bahwa pihaknya belum mewajibkan masyarakat untuk melakukan pembelian gas elpiji ukuran 3 yang masih di subsidi pemerintah tersebut, dengan aplikasi mypertamina,ini masih wacana belum final.tegas juru bicara Pertamina selaku operator pengelola",neutral
,,,7/1/2022 23:40,"Pagi nan cerah, di beberapa kota di Indonesia, isi pertalite harus pakai mypertamina. Selama berkiblat pada kapitalisme, subsidi bbm dianggap beban negara.  Serba-serbi mmc  https://t.co/IdC0uG9xp5  https://t.co/BpcFLsLNIC",bad
,,,7/1/2022 23:41,Sebenernya fungsi mypertamina teh buat apa sih ? @pertamina,bad
,,,7/1/2022 23:43,"Pendaftaran MyPertamina Sempat Terkendala Server Down, Sopir Masih Mengaku Kesulitan  https://t.co/pLvI4ookeF  https://t.co/5GTvwu6mfm",bad
,,,7/1/2022 23:45,"Random banget mimpi ditilang pas naik mobil sama keluarga, terus kalau mau dilepasin harus download aplikasi mypertamina dulu 😅",neutral
,,,7/1/2022 23:51,Aplikasi MyPertamina sempat eror di hari pertama uji coba beli Pertalite dan Solar pakai aplikasi tersebut.  https://t.co/pWEk6bSova,bad
,,,7/1/2022 23:52,@msaid_didu Udah download mypertamina blom pak?,neutral
,,,7/1/2022 23:53,"@icansican @mukaikhlas Sepertinya bayar bisa tunai dan non-tunai, asal sudah punya QR Code yang bisa tercetak dari website myPertamina (bisa ditempel di mobil). Jadi sebenarnya ndak wajib perlu aplikasi.",good
,,,7/1/2022 23:55,POPULER HARI INI: Protes Supir Angkot Pakai MyPertamina hingga 3 Wakil Indonesia di Semifinal Malaysia Open  https://t.co/2NB6ACQDRC,neutral
,,,7/1/2022 23:59,@momogiiw keknya kemarin gue input di aplikasi mypertamina ga disuru foto2 dah. cuma masukin data doang,good
,,,7/3/2022 22:28,"Masih ribut soal MyPertamina. Intinya mah ""Lo dipaksa switch Pertamax"". Bonusnya, LinkAja dapet dana abadi. Bayangin aja, jika rata2 tiap akun nyimpen saldo receh aja Rp 5rb, dikali yg nyimpen saldo ada 100jt org. Udah brp duit tuh? Udh gitu, tiba2 RKUHP resmi berlaku.. 😛😛",bad
,,,7/3/2022 22:29,Bener apa engga siy bisnis MyPertamina &amp; LinkAja kek gini? 🙄  https://t.co/1FPEsKSCZC,bad
,,,7/3/2022 22:32,@MyPertaminaID kenapa selalu terjadi kesalahan saat daftar di mypertamina,bad
