Unnamed: 0,reviewId,userName,userImage,label,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
353,e00b1f08-0916-4af6-8ea4-9c540a63910c,Kebat Wicaksono,https://play-lh.googleusercontent.com/a-/AD5-WCkLNFJJuPli8-TQ5Zvca8CEuahrEPrMXS9T-CfooQ,positive,"Aplikasi sudah cukup bagus, tolong di perbagus servernya",4,1,1.38.1,2022-03-24 11:14:14,"Hai POSTpreneur Kebat Wicaksono, Terima Kasih telah menggunakan aplikasi kasir POST. Kami akan menjadikan masukan Anda untuk pengembangan produk kami. Semoga kedepannya bisa lebih lengkap untuk fitur dan layanan aplikasi kami. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-03-25 10:20:32
864,d24b993b-cf4a-40cd-a9b2-39b4708ca819,Daniel Tri,https://play-lh.googleusercontent.com/a-/AD5-WCl_jndAa9Gsdyo53V-j3kKGwx02FtrOhSv7LsDHlE4,positive,Mantap betul,5,0,1.22.1,2021-01-22 23:43:18,"Hai Daniel Tri, terima kasih atas review yang disampaikan. Kami harap Kamu memilki pengalaman menyenangkan dengan kami. Apabila Kamu memiliki pertanyaan atau kendala silakan menginformasikan melalui email cs@post.app ya. Semoga bisnis kamu semakin maju dan lancar ya. Salam-PR #BisnisPastiPOST",2021-01-23 4:09:55
1311,12aafadd-de51-4e20-8896-743de758431e,Famel Club,https://play-lh.googleusercontent.com/a-/AD5-WCmagBD1SEca8pooujPPp0lSAXgobjmXMQW1DcUF,negative,Sebenarnya Bagus Sangat membantu.. Cuma Kok gak Ada printer Wi-Fi.. Adanya cuma Ada printer Bluetooth Dan USB... Tolong Di perbaiki Lagi.. Jadi aplikasi ini gk Aku Pakai..,5,7,1.5.0,2020-05-02 23:00:12,"Hai Famel Club, Terima kasih sudah menggunakan aplikasi dan layanan POST. Kami akan menjadikan masukan Kamu untuk pengembangan Fitur kami. Semoga kedepannya bisa lebih lengkap lagi produk yang disediakan oleh POST. Salam-Vr",2020-05-03 3:07:14
192,e0acc855-aeb8-427f-b138-cd12303b828b,Lz Angiicang,https://play-lh.googleusercontent.com/a-/AD5-WCmOMihCHMm22p-X2EaC0pYnihUuU7A-88iMpnHFgw,positive,"Aplikasinya bagus Kren banget sangat recommended buat di download,, intinya keren dehhh, nyesel kalo kalian ga cobain DOWNLOAD NOW !!!!!!!!!!!!!!!!!!!!!",5,0,1.41.1,2022-06-23 2:02:52,"Hai POSTpreneur Lz Angiicang, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-06-23 8:41:52
782,7b10662d-8c1d-4515-a6d4-32b43d53b6ed,murdani lasahidi,https://play-lh.googleusercontent.com/a-/AD5-WCkwjt_GNvH_OSgAXKZ87972TncWKqLwbey9oJNQlg,negative,Ga cocok untuk toko retail atau kelontong. Parah....,1,2,1.24.1,2021-02-07 5:27:19,"Hai murdani lasahidi, mohon maaf atas ketidaknyamanannya, untuk kategoti bisnis retail silahkan klik link berikut https://post.app/aplikasi-kasir-retail/. Apabila ada mamsukan mohon dilainfromasikan kepada kami ke email cs@post.app ya. Semoga bisnis kamu semakin maju dan lancar ya. Salam-PR #BisnisPastiPOST",2021-02-07 5:47:35
529,14463cc1-64a3-457a-92dc-10204abb260b,Mohammad Sidik,https://play-lh.googleusercontent.com/a-/AD5-WCm9U4xIlPgXMu7QNVsrXyExRQLHmyZH55LkqNBi3Q,negative,"Saran kak, jangan diberi nomor antrian, kan dibawahnya juga sudah ada nomor pesanan, kesannya dobel, biar hemat dikertas dan enak pula diliat",4,42,1.30.2,2021-09-16 11:00:43,"Hai Mohammad Sidik, terima kasih atas feedback yang diberikan. Kritik dan saran kamu akan kami teruskan ke tim untuk evaluasi dan pengembangan fitur aplikasi kedepannya. Kami akan selalu berusaha semakin baik lagi agar kenyamanan pelanggan bisa sepenuhnya terpenuhi. Salam -My #BisnisPastiPOST",2021-09-21 12:20:46
261,9983a78b-6beb-4718-abde-fe39068e7be0,Jordan EmJi,https://play-lh.googleusercontent.com/a-/AD5-WCmNvcIgqtQRtY5z3C_hfQ5fuJ7MBIpWiHTn9KS0,positive,"Salah satu aplikasi yang lengkap dalam hal mengurus usaha apalagi dalam hal pengeluaran dan pemasukan bisa dipantau dengan update yang baik, teriintegrasi pula dengan pembayaran digital lain jadi tidak susah kalau mau transaksi",5,0,1.40.1,2022-06-01 8:05:37,"Hai POSTpreneur Jordan EmJi, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-06-02 10:36:58
67,f355c3a8-ed62-47a9-9ee7-72fd91a4c384,Eka Susanti,https://play-lh.googleusercontent.com/a/AEdFTp4t-ylmtjgU3NGLbkVWI3yj8U-IvvJPuvRd8AQb=mo,neutral,Tlong dibantu ini saldo dimna pembayarnya berhasil uangnya masuk kemana ya,4,0,1.42.5,2022-08-22 12:43:53,"Hai POSTpreneur Eka Susanti, untuk pencairan dana akan masuk rekening terdaftar. Silakan kirimkan detail kendala yang kamu alami beserta file foto atau gambar kendala tersebut melalui Live Chat di menu Bantuan aplikasi atau email cs@post.app untuk kami bantu pengecekan. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-08-22 23:05:18
1063,d18ed3a2-d4dc-4866-b153-4fa37e3ae81a,Irwan Priambodo,https://play-lh.googleusercontent.com/a-/AD5-WCkVZR-E9rSfhm97l19-NiMbZGZdIh9BXppzIiwgLw,positive,So far so good. Cm usahaku yang belum good 😂,5,0,,2020-11-01 7:41:32,"Hai Irwan Priambodo, terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Ayo semangat terus dalam berbisnis ya :) . salam-R",2020-11-01 8:52:32
51,0487a61f-4648-4823-a617-252b21a0424a,Achmad Fachmi,https://play-lh.googleusercontent.com/a-/AD5-WCnvKKaqC7FAw07LcsFZrJEvvNHYfQ7V5lVyrNU2Ug,positive,pengelolaan jadi simpel dan bagus,5,0,1.43.1,2022-10-08 4:45:48,"Hai POSTpreneur Achmad Fachmi, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-10-11 9:01:20
231,79fae2d0-56e9-4c6f-84d4-5ee562d882b9,hasuri muhaimin,https://play-lh.googleusercontent.com/a-/AD5-WCm9f3_zCW1ZItVcMWVOjT4X0COR9JBNeAnsbh8P,positive,menurut saya aplikasi nya sangat bagus sekali soal nya serba ada serba bisa,5,0,,2022-06-16 7:03:36,"Hai POSTpreneur hasuri muhaimin, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-06-17 3:24:37
309,d6e327dd-bea9-4b65-b44f-23843e88081d,Aisyah Zafira Rustam,https://play-lh.googleusercontent.com/a-/AD5-WCmqet7s8tE09F3LeUzIzQabu8EfIZRtL743P7TG0w,positive,Dari segi tampilan aplikasi nya user friendly. Apalagi klw kegunaan manta bangetlah. Sangat membantu,5,1,1.39.1,2022-05-19 10:23:14,"Hai POSTpreneur Aisyah Zafira Rustam, Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi kasir POST., Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-05-19 11:14:34
1048,1fe9b948-42cb-44f8-b32d-f3018a5ea0d4,Bayu Eka Saputra,https://play-lh.googleusercontent.com/a/AEdFTp4hWS8wRFyhYCHh2ZdgoyH2LcFn6sunK-1WtwQ3=mo,positive,Aplikasi Kasir dan Pembayaran untuk kelola bisnis. Terima pembayaran wallet dan kartu apapun.,5,0,,2020-11-06 0:06:05,"Hai Bayu Eka Saputra, terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Semoga hari kamu menyenangkan ya. Salam-R #BisnisPastiPOST",2020-11-06 1:13:40
1077,b91c3812-354d-42ee-ba40-38ed71d35dd7,Wara Wiri,https://play-lh.googleusercontent.com/a-/AD5-WCkp8JgOyqHuXyG5MxDTxpx87AK0B5m70yBDaMpVUw,positive,"Mantap....ini baru nama nya aplikasi,cocok bngt buat penjualan toko saya,saya bisa liat anak buah saya dr jarak jauh dan bisa cek keluar barang masuk nya....tetap lancar terus ya buat POST",5,0,,2020-10-15 9:49:26,"Hai Wara Wiri, Terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Semoga hari kamu menyenangkan. Salam-Vr #BisnisPastiPOST",2020-10-15 9:56:38
471,deb5c929-0a33-4c66-b446-00a9860144da,Gabriel Jes,https://play-lh.googleusercontent.com/a/AEdFTp48od8Rorn1uKFK29aF5gCGI18jnjSkQG_qscVD=mo,positive,"Keren nih apk nya,bisa kasir gratis sini dan ga ribet bayar nya,gokil dah pokok nya",5,0,1.33.1,2021-10-30 14:32:54,"Hai POSTpreneur Gabriel Jes, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2021-11-29 6:55:55
852,49f18575-8915-42f0-b676-aba8c66b99b4,Herry Chandra,https://play-lh.googleusercontent.com/a/AEdFTp7isBCN_ccdossP8asmBT--KPCG9bn_FzHDZrct=mo,neutral,Printer yang support ke aplikasi post.. namany apa ya??,5,1,1.22.1,2021-01-23 5:54:17,"Hai Herry Chandra, terima kasih atas kepercayaannya sudah menggunakan layanan POST. Terkait dengan Printer maupun perangkat yang support pada aplikasi POST bisa di cek pada link ini ya https://post-app.zendesk.com/hc/id/articles/900003527766-Spesifikasi-Perangkat-Keras-Yang-Sesuai. Semoga bisnis kamu semakin maju dan lancar ya. Salam-PR #BisnisP...",2021-01-23 6:06:23
817,c16f36be-abd6-4e59-9ab7-efe5b8f40a1d,Ida Susanti,https://play-lh.googleusercontent.com/a/AEdFTp5VUtzgMfQzmisvdGMCHa3-4RYP6hREoAXjK6IQ=mo,positive,"Aplikasi yg mudah untuk mengelola bisnis jd jauh lebih mudah,ada fitur menerima semua pembayaran ewallet via post payment.mantap",5,1,1.23.0,2021-01-26 6:46:33,"Hai Ida Susanti, terima kasih atas review yang disampaikan. Semoga kami bisa memberikan pelayanan yang lebih baik lagi ke depannya. Jangan ragu untuk memberikan saran untuk kami yang bisa disampaikan via email ke cs@post.app. Semoga bisnis kamu semakin maju dan lancar ya. Salam-PR #BisnisPastiPOST",2021-01-26 6:57:24
485,72042eb8-7afb-4d31-9725-1f8589dcd75f,Vivi,https://play-lh.googleusercontent.com/a-/AD5-WCmv0E6kgbdtGQkj0V75slvN1hgpKsRJLsqhfTCa_g,positive,Good,5,0,1.32.3,2021-10-20 5:08:51,"Hi POSTpreneur Vivi Novitriyani, We are glad to know that you had a good experience using our app. Thank you for entrusting your business to POST.",2021-12-01 0:42:08
1251,2e0c94d7-01e5-4f42-97ee-10b8dbb9b810,eghaa theblues,https://play-lh.googleusercontent.com/a-/AD5-WCnHKSfuH6R7ImjL4vbS3Wa_K6mU0JrRulGc8ZneSg,positive,Mantaap,5,0,1.6.1,2020-05-30 15:43:04,"Hai eghaa theblues, Terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Semoga hari kamu menyenangkan. Salam-VR",2020-05-31 3:20:54
599,2ef2d4ee-ff72-4c1b-9447-d361b87135ae,Erie Pallimo,https://play-lh.googleusercontent.com/a-/AD5-WCmgam_QgP7GN29g4o-rykxP6vdOvO-3NbaHz0-Oqg,negative,"Saya sudah terlanjur update ke premium dan sudah transfer biaya pendaftaran nya. Ternyata sewaktu mau isi formulir,,,aplikasi ini tidak berlaku untuk wilayah Desa Lingga, kecamatan Lawang Kidul, Kabupaten Muara enim Sumsel... Seolah ada jebakan batmen di aplikasi ini... Kalau anda merasa benar,,tolong kembalikan biaya daftar premium saya..,!",2,2,,2021-07-29 11:50:19,"Hai Erie Pallimo, kami mohon maaf atas kendala yang dialami. Agar dapat kami bantu pengecekan, mohon laporkan kendala tersebut melalui pusat bantuan Live Chat yang ada di aplikasi/dashboard ya, agar dapat kami tangani secepatnya 24/7. Semoga bisnis kamu semakin maju dan lancar ya. Salam-My #BisnisPastiPOST",2021-07-29 13:59:01
451,38467e87-ba04-4881-9ee6-91a5a75b9585,Widiyono Widy,https://play-lh.googleusercontent.com/a-/AD5-WCkOebdHIe1K-B3G1CX4Wkaw33fJwUMERXaF_Z2ezg,positive,"Aplikasi yang bagus, praktis digunakan bagi pelaku bisnis baik dalam menawarkan produk atau rekap administrasi. Terima kasih Min..",5,0,1.33.2,2021-11-01 7:18:35,"Hai POSTpreneur Widiyono Widy, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2021-11-25 8:51:25
818,17e7ffba-93e8-4e2b-994e-aa7796382c8b,Diocell Dio,https://play-lh.googleusercontent.com/a/AEdFTp4x53Ls3-ci19Oc7XMC4Y3qElr4zjDJ6x6eeDWF=mo,positive,Mantap aplikasi sangat bagus dan saya jadi mudah untuk kelola bisnis.semua pembayaran e-wallet bisa terima lewat POST ini.Mantap,5,0,,2021-01-26 4:33:53,"Hai Diocell Dio, terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang dapat membantu memudahkan kamu menjalankan bisnis. Semoga bisnis kamu sukses dan lancar ya :) Salam-S #BisnisPastiPOST",2021-01-26 5:30:31
477,d7c47ce1-d774-44f7-99e6-a80e5c3a8458,Dandi Febrian,https://play-lh.googleusercontent.com/a/AEdFTp6XHcbH6kdqq_3P5pIejVl9P0xxAiNH0ohANaHm=mo,positive,Nah dan yang paling penting di aplikasi ini tuh mudah buat transaksi penjual dan sangat cocok buat bisnis kita aplikasi kasir yang juga gratis juga pokonya,5,0,1.33.1,2021-10-30 6:41:51,"Hai POSTpreneur Dandi Febrian, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2021-11-29 7:35:57
70,dbe638e7-f4e8-40b2-b5eb-2bab63e600be,SPV NAT PLB MAZTA,https://play-lh.googleusercontent.com/a-/AD5-WCl0xCPR9rR3LF84mNZtnGU_A0LLuJkYiGTloEAx,negative,Aplikasi ngga bisa proses pembayaran pake QRIS..note nya toko tidak.mendukung padahal sudah sekali transaksi ...tiba tiba tidak bisa..tolong dong bantu ..makasih,3,3,1.42.5,2022-08-14 12:58:31,"Hai POSTpreneur SPV NAT PLB MAZTA, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang kamu alami beserta file foto atau gambar kendala tersebut melalui Live Chat di menu Bantuan aplikasi atau email cs@post.app untuk kami bantu pengecekan. Terima kasih telah mempercayakan bisnis-mu pada POST.",2022-08-15 3:24:29
1228,20d59179-389c-429a-b15b-127b1ebbb4fa,Dyara 03_,https://play-lh.googleusercontent.com/a-/AD5-WCmgI2KoPdXqGkEPWKqJ_PIg4ZvOFjchcTgRmb4LgA,positive,wah baru kali ini aku coba aplikasi ini. keren dan sngat menarik. mudah dipakai..,5,0,1.6.1,2020-06-04 10:43:59,"Hai Dyara 03_, Terima kasih sudah menggunakan aplikasi dan layanan POST. Kami senang mengetahui kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Semoga hari kamu menyenangkan. Salam-R",2020-06-04 10:57:03
796,5ff5cee2-9452-43f8-9a09-2f5bfbfec6e8,Teuku Reggi Fahran,https://play-lh.googleusercontent.com/a-/AD5-WClAE9dNOuGcbFsfFkp85PMU0vDRN1a7FjX2DHfg,neutral,Ini gratis selamanya atau harus upgrade berbayar?,5,0,1.23.0,2021-01-30 13:34:43,"Hai Teuku Reggi Fahran, kamu bisa menggunakan secara gratis namun hanya fitur tertentu yang bisa digunakan. Jika ingin menggunakan semua fitur, kamu bisa upgrade ke premium dengan biaya tertentu. Jika masih ada petanyaan, jangan ragu menghubungi kami di email cs@post.app. Salam-SS- #BisnisPastiPOST",2021-01-30 13:46:29
1101,38ea6cd2-a3c3-4d0b-b959-fea823ca1d67,Lekri Ayamgoreng,https://play-lh.googleusercontent.com/a-/AD5-WClABSe9w1koaTLuQ90YoQ1vW3IeSrVsMigRTlKIpQ,neutral,Ok terimakasih respond nya..akan saya cobo lagi nanti,3,1,1.13.0,2020-09-11 1:30:00,"Hai Lekri Ayamgoreng, Terima kasih sudah menggunakan aplikasi dan layanan POST. Jika kamu tidak mengalami kendala pada aplikasi POST, mohon bantu kami dengan memberikan rating 5 Bintang. Kami akan terus berusaha memberikan kualitas serta pelayanan yang terbaik. Salam-Vr #BisnisPastiPOST",2020-09-11 1:51:41
930,ee253806-2dc5-4127-80f5-2eb4ceae28a3,Ricky Alexander,https://play-lh.googleusercontent.com/a/AEdFTp4xDU4NiFGsAyJd44iIkwWaPda2p6Wpjjh3A4-4LA=mo,neutral,Bisa bayar fitur premium melalui e-money gak developer? Selain melalui Virtual Account. Terima kasih,5,0,1.21.0,2021-01-05 12:36:45,"Hai Ricky Alexander, terima kasih atas review yang disampaikan. Mohon maaf untuk pembayaran berlangganan hanya tersedia melalui Virtual Account saja ya. Salam-PR #BisnisPastiPOST",2021-01-05 13:09:43
486,862d1cbb-a4df-40e6-977c-116b8002ed31,dzo culinary,https://play-lh.googleusercontent.com/a-/AD5-WCndLUFIvIw3hqEBwM5EM4RDj2EkJg3Yni-dB79T,negative,"Sangat buruk, pelayanan customer service buruk",1,1,1.32.3,2021-10-20 0:56:12,"Hai POSTpreneur dzo culinary, bantu kami menjadi lebih baik dengan mengirimkan saran dan kritik kamu terkait aplikasi kasir POST melalui Live Chat atau email cs@post.app.Terima kasih telah mempercayakan bisnis-mu pada POST.",2021-12-01 3:17:17
598,f4af4400-9d34-4db2-9a3c-f8b0892a5ced,Kenzo Xvvv,https://play-lh.googleusercontent.com/a/AEdFTp7SQuWPDd1UVe3Xm4eOPS3UmeVmHlLxzkfmNmnF=mo,negative,Najis,5,0,1.28.2,2021-07-30 20:08:13,"Hai Kenzo Xvvv , terima kasih atas kepercayaan kamu pada aplikasi dan layanan POST. Kami berharap kamu memiliki pengalaman yang baik dalam menggunakan aplikasi POST. Jika ada kritik dan saran ataupun informasi yang dibutuhkan, silahkan hubungi kami di cs@post.app. Semoga bisnis kamu semakin maju dan lancar ya. Salam-My #BisnisPastiPOST",2021-08-02 0:26:24
430,895cd734-487d-4ed3-a681-ef3002607f97,sambas rehan,https://play-lh.googleusercontent.com/a/AEdFTp4VZz_FqtCwaltQlt2LlIEqCBzE5ad311yy81Kl=mo,positive,apk ini emang sangat bagus sekali karena gak ribet sama sekali mau transaksi apapun gampang banget di apk post ini,5,0,1.33.2,2021-11-04 12:21:09,"Hai POSTpreneur sambas rehan, Terima kasih karena telah setia menggunakan aplikasi kasir POST. Kami sangat senang dapat membantu dan memudahkan kamu dalam usaha Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan di aplikasi kasir POST. Terima kasih telah mempercayakan bisnis-mu pada POST.",2021-11-26 9:42:15
